"Exp","Mouse","Project","Cells","MI"
"38","224","MI","MDA-231","SC"
"38","225","MI","MDA-231","SC"
"38","226","MI","MDA-231","SC"
"38","227","MI","MDA-231","SC"
"38","228","MI","MDA-231","IV"
"38","229","MI","MDA-231","IV"
"38","230","MI","MDA-231","IV"
"38","231","MI","MDA-231","IV"
"38","232","MI","MDA-231","IMFP"
"38","233","MI","MDA-231","IMFP"
"38","234","MI","MDA-231","IMFP"
"38","235","MI","MDA-231","IMFP"
"38","236","MI","MDA-231","IMFP"
"38","237","MI","MDA-231","IMFPc"
"38","238","MI","MDA-231","IMFPc"
"38","239","MI","MDA-231","IMFPc"
"38","241","MI","MDA-231","IMFPc"
"1009","356","MI","MDA-231","IMFPc"
"1009","357","MI","MDA-231","IMFPc"
"1009","358","MI","MDA-231","IMFPc"
"1009","359","MI","MDA-231","IMFPc"
"1009","360","MI","MDA-231","IMFPc"
"1009","361","MI","MDA-231","IMFPc"
"1009","362","MI","MDA-231","IMFP"
"1009","363","MI","MDA-231","IMFP"
"1009","364","MI","MDA-231","IMFP"
"1009","365","MI","MDA-231","IMFP"
"1009","366","MI","MDA-231","IV"
"1009","367","MI","MDA-231","IV"
"1009","368","MI","MDA-231","IV"
"1009","369","MI","MDA-231","IV"
"1009","370","MI","MDA-231","SC"
"1009","371","MI","MDA-231","SC"
"1009","372","MI","MDA-231","SC"
"1009","373","MI","MDA-231","SC"
"1009","374","MI","MDA-231","ID"
"1009","375","MI","MDA-231","ID"
"1009","376","MI","MDA-231","ID"
"1009","377","MI","MDA-231","ID"
"1009","378","MI","MDA-231","IMFP"
"1009","379","MI","MDA-231","ID"
"72","568","MI","PDX-T412","ID"
"72","569","MI","PDX-T412","ID"
"72","570","MI","PDX-T412","ID"
"72","571","MI","PDX-T412","ID"
"72","572","MI","PDX-T412","ID"
"72","573","MI","PDX-T412","ID"
"72","574","MI","PDX-T412","IV"
"72","575","MI","PDX-T412","IV"
"72","576","MI","PDX-T412","IV"
"72","577","MI","PDX-T412","IV"
"72","578","MI","PDX-T412","IV"
"72","579","MI","PDX-T412","IV"
"72","580","MI","PDX-T412","SC"
"72","581","MI","PDX-T412","SC"
"72","582","MI","PDX-T412","SC"
"72","583","MI","PDX-T412","SC"
"72","584","MI","PDX-T412","SC"
"72","585","MI","PDX-T412","IMFP"
"72","586","MI","PDX-T412","IMFP"
"72","587","MI","PDX-T412","IMFP"
"72","588","MI","PDX-T412","IMFP"
"72","589","MI","PDX-T412","IMFP"
"72","590","MI","PDX-T412","IMFPc"
"72","591","MI","PDX-T412","IMFPc"
"72","592","MI","PDX-T412","IMFPc"
"72","593","MI","PDX-T412","IMFPc"
"72","594","MI","PDX-T412","IMFPc"
"72","595","MI","PDX-T412","IMFPc"
"1011","822","MI","MDA-231","ID"
"1011","823","MI","MDA-231","ID"
"1011","824","MI","MDA-231","ID"
"1011","825","MI","MDA-231","ID"
"1011","826","MI","MDA-231","ID"
"1011","827","MI","MDA-231","ID"
"1011","828","MI","MDA-231","ID"
"1011","829","MI","MDA-231","ID"
"1011","830","MI","MDA-231","IMFP"
"1011","831","MI","MDA-231","IMFP"
"1011","832","MI","MDA-231","IMFP"
"1011","833","MI","MDA-231","IMFP"
"1011","834","MI","MDA-231","IMFP"
"1011","835","MI","MDA-231","IMFP"
"1011","836","MI","MDA-231","IMFP"
"1011","837","MI","MDA-231","IMFP"
"1011","838","MI","MDA-231","ID"
"1012","839","MI","PDX-T412","IMFPc"
"1012","840","MI","PDX-T412","IMFPc"
"1012","841","MI","PDX-T412","IMFPc"
"1012","842","MI","PDX-T412","IMFPc"
"1012","843","MI","PDX-T412","IMFPc"
"1012","844","MI","PDX-T412","IV"
"1012","845","MI","PDX-T412","IV"
"1012","846","MI","PDX-T412","IV"
"1012","847","MI","PDX-T412","IMFP"
"1012","848","MI","PDX-T412","IMFP"
"1012","849","MI","PDX-T412","IMFP"
"1012","850","MI","PDX-T412","IMFP"
"1012","851","MI","PDX-T412","IMFP"
"1012","852","MI","PDX-T412","SC"
"1012","853","MI","PDX-T412","SC"
"1012","854","MI","PDX-T412","SC"
"1012","855","MI","PDX-T412","SC"
"1012","856","MI","PDX-T412","SC"
"1012","857","MI","PDX-T412","ID"
"1012","858","MI","PDX-T412","ID"
"1012","859","MI","PDX-T412","ID"
"1012","860","MI","PDX-T412","ID"
"1012","861","MI","PDX-T412","ID"
"1012","862","MI","PDX-T412","ID"
